tic,date,ajexdi,price,gvkey
REMX,9/14/2023,1,72.29,185808
REMX,9/15/2023,1,71.83,185808
REMX,9/18/2023,1,70.7,185808
REMX,9/19/2023,1,69.55,185808
REMX,9/20/2023,1,68.38,185808
REMX,9/21/2023,1,66.29,185808
REMX,9/22/2023,1,67.15,185808
REMX,9/25/2023,1,66.71,185808
REMX,9/26/2023,1,64.95,185808
REMX,9/27/2023,1,64.42,185808
REMX,9/28/2023,1,66.42,185808
REMX,9/29/2023,1,66.33,185808
REMX,10/2/2023,1,64.32,185808
REMX,10/3/2023,1,62.19,185808
REMX,10/4/2023,1,62.22,185808
REMX,10/5/2023,1,61.06,185808
REMX,10/6/2023,1,62.66,185808
REMX,10/9/2023,1,62.57,185808
